Current Facility,Race,index,Offense Code,Offense,Severity,Sentence (Years),Gender,Age,Sentence Date,tot
Pack,H,285,285,285,285,285,285,285,285,1299
Pack,A,6,6,6,6,6,6,6,6,1299
Pack,I,2,2,2,2,2,2,2,2,1299
Hightower,H,452,452,452,452,452,452,452,452,1272
Hightower,W,423,423,423,423,423,423,423,423,1272
Hightower,B,388,388,388,388,388,388,388,388,1272
Hightower,A,9,9,9,9,9,9,9,9,1272
Hobby,W,506,506,506,506,506,506,506,506,1270
Hobby,B,403,403,403,403,403,403,403,403,1270
Hobby,H,350,350,350,350,350,350,350,350,1270
Hobby,A,9,9,9,9,9,9,9,9,1270
Hobby,I,1,1,1,1,1,1,1,1,1270
Hobby,U,1,1,1,1,1,1,1,1,1270
Murray,W,554,554,554,554,554,554,554,554,1216
Murray,B,372,372,372,372,372,372,372,372,1216
Murray,H,286,286,286,286,286,286,286,286,1216
Murray,A,3,3,3,3,3,3,3,3,1216
Murray,I,1,1,1,1,1,1,1,1,1216
Le Blanc,W,510,510,510,510,510,510,510,510,1199
Le Blanc,B,401,401,401,401,401,401,401,401,1199
Le Blanc,H,279,279,279,279,279,279,279,279,1199
Le Blanc,A,8,8,8,8,8,8,8,8,1199
Le Blanc,I,1,1,1,1,1,1,1,1,1199
C. Moore,W,491,491,491,491,491,491,491,491,1177
C. Moore,B,448,448,448,448,448,448,448,448,1177
C. Moore,H,230,230,230,230,230,230,230,230,1177
C. Moore,A,6,6,6,6,6,6,6,6,1177
C. Moore,I,2,2,2,2,2,2,2,2,1177
Luther,W,410,410,410,410,410,410,410,410,1140
Luther,B,368,368,368,368,368,368,368,368,1140
Luther,H,355,355,355,355,355,355,355,355,1140
Luther,A,7,7,7,7,7,7,7,7,1140
Clemens,B,413,413,413,413,413,413,413,413,1132
Clemens,H,384,384,384,384,384,384,384,384,1132
Clemens,W,331,331,331,331,331,331,331,331,1132
Clemens,A,4,4,4,4,4,4,4,4,1132
Wallace,H,498,498,498,498,498,498,498,498,1128
Wallace,W,320,320,320,320,320,320,320,320,1128
Wallace,B,297,297,297,297,297,297,297,297,1128
Wallace,A,13,13,13,13,13,13,13,13,1128
Briscoe,H,625,625,625,625,625,625,625,625,1124
Briscoe,B,284,284,284,284,284,284,284,284,1124
Briscoe,W,211,211,211,211,211,211,211,211,1124
Briscoe,A,3,3,3,3,3,3,3,3,1124
Briscoe,I,1,1,1,1,1,1,1,1,1124
Travis County,W,461,461,461,461,461,461,461,461,1092
Travis County,B,342,342,342,342,342,342,342,342,1092
Travis County,H,281,281,281,281,281,281,281,281,1092
Travis County,A,7,7,7,7,7,7,7,7,1092
Travis County,I,1,1,1,1,1,1,1,1,1092
Goree,W,389,389,389,389,389,389,389,389,1085
Goree,H,355,355,355,355,355,355,355,355,1085
Goree,B,335,335,335,335,335,335,335,335,1085
Goree,A,6,6,6,6,6,6,6,6,1085
Byrd,B,390,390,390,390,390,390,390,390,1076
Byrd,W,377,377,377,377,377,377,377,377,1076
Byrd,H,301,301,301,301,301,301,301,301,1076
Byrd,A,7,7,7,7,7,7,7,7,1076
Byrd,O,1,1,1,1,1,1,1,1,1076
Sanchez,H,637,637,637,637,637,637,637,637,1073
Sanchez,W,260,260,260,260,260,260,260,260,1073
Sanchez,B,172,172,172,172,172,172,172,172,1073
Sanchez,A,4,4,4,4,4,4,4,4,1073
Hamilton,W,413,413,413,413,413,413,413,413,1059
Hamilton,H,333,333,333,333,333,333,333,333,1059
Hamilton,B,306,306,306,306,306,306,306,306,1059
Hamilton,A,5,5,5,5,5,5,5,5,1059
Hamilton,I,2,2,2,2,2,2,2,2,1059
Willacy County,H,538,538,538,538,538,538,538,538,1054
Willacy County,B,285,285,285,285,285,285,285,285,1054
Willacy County,W,225,225,225,225,225,225,225,225,1054
Willacy County,A,6,6,6,6,6,6,6,6,1054
Jester III,W,405,405,405,405,405,405,405,405,1035
Jester III,B,340,340,340,340,340,340,340,340,1035
Jester III,H,286,286,286,286,286,286,286,286,1035
Jester III,A,3,3,3,3,3,3,3,3,1035
Jester III,U,1,1,1,1,1,1,1,1,1035
Huntsville,W,440,440,440,440,440,440,440,440,1028
Huntsville,H,310,310,310,310,310,310,310,310,1028
Huntsville,B,268,268,268,268,268,268,268,268,1028
Huntsville,A,10,10,10,10,10,10,10,10,1028
Lindsey,W,488,488,488,488,488,488,488,488,1024
Lindsey,B,281,281,281,281,281,281,281,281,1024
Lindsey,H,251,251,251,251,251,251,251,251,1024
Lindsey,A,3,3,3,3,3,3,3,3,1024
Lindsey,I,1,1,1,1,1,1,1,1,1024
Segovia,H,670,670,670,670,670,670,670,670,1007
Segovia,B,170,170,170,170,170,170,170,170,1007
Segovia,W,162,162,162,162,162,162,162,162,1007
Segovia,A,4,4,4,4,4,4,4,4,1007
Segovia,I,1,1,1,1,1,1,1,1,1007
Crain,W,499,499,499,499,499,499,499,499,1006
Crain,B,268,268,268,268,268,268,268,268,1006
Crain,H,231,231,231,231,231,231,231,231,1006
Crain,A,7,7,7,7,7,7,7,7,1006
Crain,I,1,1,1,1,1,1,1,1,1006
Estes,W,366,366,366,366,366,366,366,366,999
Estes,H,317,317,317,317,317,317,317,317,999
Estes,B,312,312,312,312,312,312,312,312,999
Estes,A,4,4,4,4,4,4,4,4,999
Jordan,H,430,430,430,430,430,430,430,430,988
Jordan,W,311,311,311,311,311,311,311,311,988
Jordan,B,241,241,241,241,241,241,241,241,988
Jordan,A,5,5,5,5,5,5,5,5,988
Jordan,I,1,1,1,1,1,1,1,1,988
Powledge,W,457,457,457,457,457,457,457,457,980
Powledge,B,291,291,291,291,291,291,291,291,980
Powledge,H,226,226,226,226,226,226,226,226,980
Powledge,A,5,5,5,5,5,5,5,5,980
Powledge,I,1,1,1,1,1,1,1,1,980
Formby,W,391,391,391,391,391,391,391,391,958
Formby,H,358,358,358,358,358,358,358,358,958
Formby,B,203,203,203,203,203,203,203,203,958
Formby,A,6,6,6,6,6,6,6,6,958
Lopez,H,570,570,570,570,570,570,570,570,903
Lopez,B,189,189,189,189,189,189,189,189,903
Lopez,W,135,135,135,135,135,135,135,135,903
Lopez,A,8,8,8,8,8,8,8,8,903
Lopez,I,1,1,1,1,1,1,1,1,903
Cole,W,363,363,363,363,363,363,363,363,880
Cole,B,330,330,330,330,330,330,330,330,880
Cole,H,184,184,184,184,184,184,184,184,880
Cole,A,2,2,2,2,2,2,2,2,880
Cole,I,1,1,1,1,1,1,1,1,880
Hodge,B,355,355,355,355,355,355,355,355,868
Hodge,W,286,286,286,286,286,286,286,286,868
Hodge,H,224,224,224,224,224,224,224,224,868
Hodge,A,3,3,3,3,3,3,3,3,868
Woodman,W,576,576,576,576,576,576,576,576,850
Stringfellow,B,309,309,309,309,309,309,309,309,850
Stringfellow,H,283,283,283,283,283,283,283,283,850
Stringfellow,W,251,251,251,251,251,251,251,251,850
Woodman,B,136,136,136,136,136,136,136,136,850
Woodman,H,130,130,130,130,130,130,130,130,850
Stringfellow,A,6,6,6,6,6,6,6,6,850
Woodman,A,4,4,4,4,4,4,4,4,850
Woodman,I,4,4,4,4,4,4,4,4,850
Stringfellow,I,1,1,1,1,1,1,1,1,850
Dalhart,H,357,357,357,357,357,357,357,357,776
Dalhart,W,224,224,224,224,224,224,224,224,776
Dalhart,B,192,192,192,192,192,192,192,192,776
Dalhart,A,3,3,3,3,3,3,3,3,776
Montford,W,312,312,312,312,312,312,312,312,714
Montford,B,208,208,208,208,208,208,208,208,714
Montford,H,191,191,191,191,191,191,191,191,714
Montford,A,3,3,3,3,3,3,3,3,714
Mechler,H,255,255,255,255,255,255,255,255,598
Mechler,W,199,199,199,199,199,199,199,199,598
Mechler,B,143,143,143,143,143,143,143,143,598
Mechler,A,1,1,1,1,1,1,1,1,598
O'Daniel,W,290,290,290,290,290,290,290,290,592
O'Daniel,B,161,161,161,161,161,161,161,161,592
O'Daniel,H,138,138,138,138,138,138,138,138,592
O'Daniel,A,2,2,2,2,2,2,2,2,592
O'Daniel,I,1,1,1,1,1,1,1,1,592
Cotulla,H,292,292,292,292,292,292,292,292,583
Cotulla,B,147,147,147,147,147,147,147,147,583
Cotulla,W,142,142,142,142,142,142,142,142,583
Cotulla,A,2,2,2,2,2,2,2,2,583
Fort Stockton,H,236,236,236,236,236,236,236,236,575
Fort Stockton,W,214,214,214,214,214,214,214,214,575
Fort Stockton,B,121,121,121,121,121,121,121,121,575
Fort Stockton,A,4,4,4,4,4,4,4,4,575
Ney,H,253,253,253,253,253,253,253,253,574
Wheeler,H,234,234,234,234,234,234,234,234,574
Wheeler,W,198,198,198,198,198,198,198,198,574
Ney,B,169,169,169,169,169,169,169,169,574
Ney,W,151,151,151,151,151,151,151,151,574
Wheeler,B,139,139,139,139,139,139,139,139,574
Wheeler,A,3,3,3,3,3,3,3,3,574
Ney,A,1,1,1,1,1,1,1,1,574
San Saba,W,219,219,219,219,219,219,219,219,566
San Saba,B,188,188,188,188,188,188,188,188,566
San Saba,H,154,154,154,154,154,154,154,154,566
San Saba,A,5,5,5,5,5,5,5,5,566
Marlin,W,299,299,299,299,299,299,299,299,552
Marlin,H,135,135,135,135,135,135,135,135,552
Marlin,B,114,114,114,114,114,114,114,114,552
Marlin,A,2,2,2,2,2,2,2,2,552
Marlin,I,1,1,1,1,1,1,1,1,552
Marlin,O,1,1,1,1,1,1,1,1,552
Hilltop,W,325,325,325,325,325,325,325,325,525
Hilltop,H,113,113,113,113,113,113,113,113,525
Hilltop,B,85,85,85,85,85,85,85,85,525
Hilltop,A,2,2,2,2,2,2,2,2,525
Bridgeport,H,206,206,206,206,206,206,206,206,515
Bridgeport,W,179,179,179,179,179,179,179,179,515
Bridgeport,B,127,127,127,127,127,127,127,127,515
Bridgeport,A,2,2,2,2,2,2,2,2,515
Bridgeport,I,1,1,1,1,1,1,1,1,515
Daniel,W,204,204,204,204,204,204,204,204,502
Diboll,H,176,176,176,176,176,176,176,176,502
Diboll,W,167,167,167,167,167,167,167,167,502
Daniel,H,156,156,156,156,156,156,156,156,502
Diboll,B,155,155,155,155,155,155,155,155,502
Daniel,B,139,139,139,139,139,139,139,139,502
Diboll,A,3,3,3,3,3,3,3,3,502
Daniel,A,2,2,2,2,2,2,2,2,502
Diboll,O,1,1,1,1,1,1,1,1,502
Daniel,I,1,1,1,1,1,1,1,1,502
B. Moore,H,187,187,187,187,187,187,187,187,500
B. Moore,B,159,159,159,159,159,159,159,159,500
B. Moore,W,153,153,153,153,153,153,153,153,500
B. Moore,A,1,1,1,1,1,1,1,1,500
Havins,H,194,194,194,194,194,194,194,194,498
Havins,W,177,177,177,177,177,177,177,177,498
Havins,B,125,125,125,125,125,125,125,125,498
Havins,A,2,2,2,2,2,2,2,2,498
